gold\system	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	VERB	X
ADJ	152	1	2	0	0	0	0	6	0	0	0	0	0	0	2	0
ADP	0	164	3	0	0	3	0	0	0	0	2	3	0	3	0	0
ADV	3	4	146	0	0	0	2	8	0	3	0	0	0	0	0	0
AUX	0	0	0	53	0	0	0	3	0	0	1	0	0	0	11	0
CCONJ	0	0	1	0	79	0	0	1	0	0	0	0	0	0	0	0
DET	0	0	0	0	3	107	0	2	0	0	1	0	0	0	0	0
INTJ	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0
NOUN	1	5	0	1	0	0	0	306	0	0	2	8	0	0	1	0
NUM	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
PART	0	0	0	0	0	0	2	0	0	34	0	0	1	0	1	0
PRON	2	0	2	3	1	0	0	1	0	0	229	10	0	1	3	0
PROPN	0	0	0	0	0	0	0	1	0	0	0	63	0	0	1	0
PUNCT	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0
SCONJ	0	5	2	2	0	1	1	1	0	0	2	0	1	52	0	0
VERB	3	1	2	1	0	0	0	11	0	0	0	1	0	0	199	0
X	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
