gold\system	_	acl	advcl	advmod	amod	appos	aux	case	cc	ccomp	compound	conj	cop	csubj	det	discourse	dislocated	expl	fixed	flat	goeswith	iobj	mark	nmod	nsubj	nummod	obj	obl	orphan	parataxis	punct	root	vocative	xcomp
_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
acl	0	156	21	4	4	0	0	0	0	4	0	12	0	4	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	1	0	0	0	4
advcl	0	12	101	7	0	0	0	4	0	0	0	16	0	0	0	0	4	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0
advmod	0	0	8	523	0	0	0	16	0	0	4	9	0	0	0	4	0	0	0	0	0	0	8	6	12	0	4	4	0	3	0	0	0	0
amod	0	4	4	10	406	4	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	12	4	0	2	4	0	0	0	4	0	0
appos	0	0	0	0	0	24	0	0	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	8	4	0	0	0	0	0	3
aux	0	0	0	0	0	0	136	0	0	4	0	12	0	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	14	0	0
case	0	0	0	9	0	0	0	685	4	0	4	0	0	0	8	0	0	0	0	0	0	0	30	4	8	0	8	4	0	0	0	0	0	0
cc	2	0	0	6	4	0	0	8	309	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ccomp	0	8	14	4	0	0	0	0	0	41	0	16	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
compound	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
conj	0	12	8	0	8	2	0	6	0	4	0	248	0	0	0	0	0	0	2	4	0	0	0	4	11	3	8	0	4	11	0	7	0	4
cop	0	4	9	0	0	0	0	0	0	0	0	4	58	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	2	0	4
csubj	0	0	2	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
det	0	0	0	0	0	0	0	0	12	0	0	4	0	0	412	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0
discourse	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
dislocated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
expl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0
fixed	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
flat	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	4	0	0	0	0	0	0	0
goeswith	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
iobj	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	17	0	4	0	0	4	0	0	0	0	8	0	0
mark	0	4	0	25	0	0	4	4	4	0	0	0	0	0	4	4	0	0	0	0	0	0	290	4	4	0	0	8	0	4	0	0	0	0
nmod	0	0	0	0	0	10	0	0	0	0	0	9	0	0	0	0	0	0	0	12	0	0	0	410	4	0	4	16	0	0	0	0	0	0
nsubj	0	0	0	0	0	4	9	4	0	0	0	19	0	0	6	0	4	4	0	4	0	5	4	13	640	0	12	9	0	0	0	0	0	0
nummod	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0
obj	0	5	0	12	0	2	0	0	0	0	4	4	0	0	3	0	0	2	0	4	0	26	0	0	33	0	308	4	0	4	0	6	0	6
obl	0	4	4	1	13	4	0	5	0	0	4	24	0	0	4	0	0	0	0	8	0	4	3	41	23	0	19	419	0	0	0	4	0	6
orphan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0
parataxis	0	0	4	0	0	0	0	0	0	0	0	9	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	21	0	8	0	0
punct	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1008	0	0	0
root	4	4	3	0	0	0	0	0	0	0	0	18	4	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	180	0	8
vocative	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	4	0	0	0	0	0	0
xcomp	0	3	33	0	0	0	0	0	0	7	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	19	4	0	0	0	8	0	80
