Sample: svediakorp-letter141673-Stalhammar, time period: 1700-1749
Metric	Precision	Recall	F1
flat	0.0000	0.0000	0.0000
nummod	0.0000	0.0000	0.0000
reparandum	0.0000	0.0000	0.0000
clf	0.0000	0.0000	0.0000
obj	0.0000	0.0000	0.0000
acl	0.0000	0.0000	0.0000
discourse	0.0000	0.0000	0.0000
parataxis	0.0000	0.0000	0.0000
conj	0.0000	0.0000	0.0000
list	0.0000	0.0000	0.0000
amod	0.0000	0.0000	0.0000
det	0.0000	0.0000	0.0000
csubj	0.0000	0.0000	0.0000
root	0.2000	0.2000	0.2000
cc	0.0000	0.0000	0.0000
iobj	0.0000	0.0000	0.0000
punct	0.0000	0.0000	0.0000
advcl	0.0000	0.0000	0.0000
goeswith	0.0000	0.0000	0.0000
vocative	0.0000	0.0000	0.0000
obl	0.0000	0.0000	0.0000
dep	0.0000	0.0000	0.0000
cop	0.0000	0.0000	0.0000
advmod	0.0000	0.0000	0.0000
appos	0.0000	0.0000	0.0000
fixed	0.0000	0.0000	0.0000
xcomp	0.0000	0.0000	0.0000
nmod	0.0000	0.0000	0.0000
aux	0.0000	0.0000	0.0000
nsubj	0.0000	0.0000	0.0000
case	0.0000	0.0000	0.0000
mark	0.0000	0.0000	0.0000
ccomp	0.0000	0.0000	0.0000
compound	0.0000	0.0000	0.0000
expl	0.0000	0.0000	0.0000
dislocated	0.0000	0.0000	0.0000
orphan	0.0000	0.0000	0.0000
TOTAL	0.0056	0.0056	0.0056

Sample: svediakorp-sec1033-spf190, time period: 1900-1950
Metric	Precision	Recall	F1
flat	0.0000	0.0000	0.0000
nummod	0.0000	0.0000	0.0000
reparandum	0.0000	0.0000	0.0000
clf	0.0000	0.0000	0.0000
obj	0.6667	1.0000	0.8000
acl	1.0000	1.0000	1.0000
discourse	0.0000	0.0000	0.0000
parataxis	0.0000	0.0000	0.0000
conj	0.5000	1.0000	0.6667
list	0.0000	0.0000	0.0000
amod	0.8750	1.0000	0.9333
det	1.0000	1.0000	1.0000
csubj	0.0000	0.0000	0.0000
root	1.0000	1.0000	1.0000
cc	1.0000	1.0000	1.0000
iobj	0.0000	0.0000	0.0000
punct	1.0000	1.0000	1.0000
advcl	1.0000	1.0000	1.0000
goeswith	0.0000	0.0000	0.0000
vocative	0.0000	0.0000	0.0000
obl	0.7500	0.7500	0.7500
dep	0.0000	0.0000	0.0000
cop	1.0000	1.0000	1.0000
advmod	0.9167	0.9167	0.9167
appos	0.5000	0.6667	0.5714
fixed	0.0000	0.0000	0.0000
xcomp	1.0000	0.6667	0.8000
nmod	1.0000	0.7273	0.8421
aux	1.0000	1.0000	1.0000
nsubj	1.0000	0.9167	0.9565
case	1.0000	0.8333	0.9091
mark	0.7500	1.0000	0.8571
ccomp	1.0000	1.0000	1.0000
compound	1.0000	1.0000	1.0000
expl	0.0000	0.0000	0.0000
dislocated	0.0000	0.0000	0.0000
orphan	0.0000	0.0000	0.0000
TOTAL	0.8976	0.8976	0.8976

Sample: svediakorp-sec1063-spf220, time period: 1850-1899
Metric	Precision	Recall	F1
flat	0.0000	0.0000	0.0000
nummod	0.0000	0.0000	0.0000
reparandum	0.0000	0.0000	0.0000
clf	0.0000	0.0000	0.0000
obj	0.8750	0.7000	0.7778
acl	1.0000	0.6667	0.8000
discourse	0.0000	0.0000	0.0000
parataxis	0.0000	0.0000	0.0000
conj	0.8750	1.0000	0.9333
