Sample: svediakorp-letter141673-Stalhammar, time period: 1700-1749
Metric	Precision	Recall	F1
PART	0.0000	0.0000	0.0000
PRON	0.0667	0.0500	0.0571
ADV	0.0000	0.0000	0.0000
SYM	0.0000	0.0000	0.0000
ADJ	0.0000	0.0000	0.0000
NUM	0.0000	0.0000	0.0000
NOUN	0.0000	0.0000	0.0000
SCONJ	0.0000	0.0000	0.0000
DET	0.0000	0.0000	0.0000
INTJ	0.0000	0.0000	0.0000
AUX	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
VERB	0.0769	0.0769	0.0769
PUNCT	0.0000	0.0000	0.0000
PROPN	0.0000	0.0000	0.0000
CCONJ	0.0000	0.0000	0.0000
ADP	0.0000	0.0000	0.0000
TOTAL	0.0112	0.0112	0.0112

Sample: svediakorp-sec1033-spf190, time period: 1900-1950
Metric	Precision	Recall	F1
PART	0.5000	1.0000	0.6667
PRON	1.0000	0.9231	0.9600
ADV	0.9286	0.9286	0.9286
SYM	0.0000	0.0000	0.0000
ADJ	0.8182	0.9000	0.8571
NUM	0.0000	0.0000	0.0000
NOUN	0.9630	1.0000	0.9811
SCONJ	1.0000	0.7500	0.8571
DET	1.0000	1.0000	1.0000
INTJ	0.0000	0.0000	0.0000
AUX	1.0000	1.0000	1.0000
X	0.0000	0.0000	0.0000
VERB	1.0000	0.9167	0.9565
PUNCT	1.0000	1.0000	1.0000
PROPN	1.0000	1.0000	1.0000
CCONJ	1.0000	1.0000	1.0000
ADP	0.9167	0.9167	0.9167
TOTAL	0.9528	0.9528	0.9528

Sample: svediakorp-sec1063-spf220, time period: 1850-1899
Metric	Precision	Recall	F1
PART	1.0000	1.0000	1.0000
PRON	1.0000	0.9600	0.9796
ADV	0.8750	0.7778	0.8235
SYM	0.0000	0.0000	0.0000
ADJ	1.0000	1.0000	1.0000
NUM	0.0000	0.0000	0.0000
NOUN	0.9524	1.0000	0.9756
SCONJ	1.0000	0.8333	0.9091
DET	1.0000	1.0000	1.0000
INTJ	0.0000	0.0000	0.0000
AUX	0.7500	1.0000	0.8571
X	0.0000	0.0000	0.0000
VERB	1.0000	1.0000	1.0000
PUNCT	1.0000	1.0000	1.0000
PROPN	0.0000	0.0000	0.0000
CCONJ	1.0000	1.0000	1.0000
ADP	0.9167	1.0000	0.9565
TOTAL	0.9728	0.9728	0.9728

Sample: svediakorp-sec1102-spf259, time period: 1850-1899
Metric	Precision	Recall	F1
PART	1.0000	1.0000	1.0000
PRON	0.9231	1.0000	0.9600
ADV	0.8947	0.9444	0.9189
SYM	0.0000	0.0000	0.0000
ADJ	1.0000	1.0000	1.0000
NUM	0.0000	0.0000	0.0000
NOUN	0.9143	0.9697	0.9412
SCONJ	0.8571	0.8571	0.8571
DET	1.0000	1.0000	1.0000
INTJ	0.0000	0.0000	0.0000
AUX	1.0000	0.7500	0.8571
X	0.0000	0.0000	0.0000
VERB	0.9412	0.8421	0.8889
PUNCT	1.0000	1.0000	1.0000
PROPN	1.0000	1.0000	1.0000
CCONJ	1.0000	1.0000	1.0000
ADP	1.0000	1.0000	1.0000
TOTAL	0.9574	0.9574	0.9574

Sample: svediakorp-sec208-Anonym_DetGrasligaMordet, time period: 1850-1899
Metric	Precision	Recall	F1
PART	0.3333	0.3333	0.3333
PRON	0.0000	0.0000	0.0000
ADV	0.5000	0.5000	0.5000
SYM	0.0000	0.0000	0.0000
ADJ	0.0000	0.0000	0.0000
NUM	1.0000	1.0000	1.0000
NOUN	0.2609	0.2727	0.2667
SCONJ	0.2500	0.2500	0.2500
DET	0.3750	0.3750	0.3750
INTJ	0.0000	0.0000	0.0000
AUX	0.5000	0.5000	0.5000
X	0.0000	0.0000	0.0000
VERB	0.1000	0.1000	0.1000
PUNCT	0.3333	0.3333	0.3333
PROPN	1.0000	1.0000	1.0000
CCONJ	0.0000	0.0000	0.0000
ADP	0.1875	0.1875	0.1875
TOTAL	0.2500	0.2500	0.2500

Sample: svediakorp-sec25-Runius, time period: 1700-1749
Metric	Precision	Recall	F1
PART	0.0000	0.0000	0.0000
PRON	1.0000	0.8889	0.9412
ADV	0.8333	0.8333	0.8333
SYM	0.0000	0.0000	0.0000
ADJ	1.0000	0.6667	0.8000
NUM	0.0000	0.0000	0.0000
NOUN	0.8182	0.9000	0.8571
SCONJ	0.0000	0.0000	0.0000
DET	1.0000	1.0000	1.0000
INTJ	0.0000	0.0000	0.0000
AUX	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
VERB	0.8182	0.9000	0.8571
PUNCT	1.0000	1.0000	1.0000
PROPN	0.0000	0.0000	0.0000
CCONJ	1.0000	1.0000	1.0000
ADP	1.0000	1.0000	1.0000
TOTAL	0.8600	0.8776	0.8687

Sample: svediakorp-sec252-BremerF_Teckningar1, time period: 1800-1849
Metric	Precision	Recall	F1
PART	1.0000	1.0000	1.0000
PRON	1.0000	1.0000	1.0000
ADV	1.0000	1.0000	1.0000
SYM	0.0000	0.0000	0.0000
ADJ	1.0000	1.0000	1.0000
NUM	0.0000	0.0000	0.0000
NOUN	1.0000	1.0000	1.0000
SCONJ	1.0000	1.0000	1.0000
DET	1.0000	1.0000	1.0000
INTJ	0.0000	0.0000	0.0000
AUX	1.0000	1.0000	1.0000
X	0.0000	0.0000	0.0000
VERB	1.0000	1.0000	1.0000
PUNCT	1.0000	1.0000	1.0000
PROPN	1.0000	1.0000	1.0000
CCONJ	0.0000	0.0000	0.0000
ADP	1.0000	1.0000	1.0000
TOTAL	1.0000	1.0000	1.0000

Sample: svediakorp-sec254-CederborghF_BerattelseOmJohnHall, time period: 1800-1849
Metric	Precision	Recall	F1
