Pattern                                            	p_occs 	 p_q_occs 	 Decision	   Coef	 coverage	 precision	 cramers_phi
------------------------------------------------------------------------------------------------------------------------
node:X:child:rel_shallow=mark,node:Y:own:has_child=No	    226	        5	 no      	 -0.015	 88.400	  97.79	   0.11
node:X:child:rel_shallow=mark,node:X:own:Voice=Act	    181	        3	 no      	 -0.076	 71.200	  98.34	   0.14
node:X:child:upos=ADV,node:X:child:Number=Sing    	     71	        7	 yes     	  0.083	 63.636	   9.86	   0.24
node:X:own:Mood=Ind,node:X:child:upos=ADV         	     32	        5	 yes     	  0.070	 45.455	  15.62	   0.44
node:X:child:upos=ADV,node:X:own:VerbForm=Fin     	     32	        5	 yes     	  0.054	 45.455	  15.62	   0.44
node:X:child:upos=AUX,node:Y:own:has_child=No     	    106	        1	 no      	 -0.056	 42.000	  99.06	   0.20
node:X:child:upos=AUX,node:X:child:Voice=Act      	    106	        1	 no      	 -0.001	 42.000	  99.06	   0.20
node:X:child:rel_shallow=punct,node:X:own:Voice=Act	     41	        5	 yes     	  0.104	 45.455	  12.20	   0.33
node:X:child:rel_shallow=obj,node:X:parent:position=before	    102	        1	 no      	 -0.019	 40.400	  99.02	   0.19
node:X:own:Mood=Ind,node:X:child:Gender=Com       	     89	        7	 yes     	  0.035	 63.636	   7.87	   0.16
node:X:parent:position=before,node:Y:own:has_child=No	    225	        6	 no      	 -0.043	 87.600	  97.33	   0.08
node:Y:own:Polarity=Neg,node:X:child:upos=AUX     	    106	        1	 no      	 -0.004	 42.000	  99.06	   0.20
node:X:child:upos=AUX                             	    106	        1	 no      	 -0.051	 42.000	  99.06	   0.20
node:X:child:upos=ADV,node:X:child:Gender=Com     	     72	        7	 yes     	  0.038	 63.636	   9.72	   0.24
node:X:child:Gender=Com,node:X:own:VerbForm=Fin   	     89	        7	 yes     	  0.021	 63.636	   7.87	   0.16
node:X:child:rel_shallow=mark,node:X:own:rel_shallow=advcl	    136	        2	 no      	 -0.089	 53.600	  98.53	   0.16
node:X:own:VerbForm=Inf,node:X:child:rel_shallow=punct	     25	        4	 yes     	  0.038	 36.364	  16.00	   0.45
node:X:child:upos=PRON,node:X:child:Definite=Ind  	    107	        7	 yes     	  0.046	 63.636	   6.54	   0.11
node:X:child:PronType=Prs,node:CLH:own:VerbForm=Fin	     69	        0	 no      	 -0.014	 27.600	 100.00	   0.29
node:X:own:VerbForm=Fin,node:CLH:own:Voice=Act    	     68	        6	 yes     	  0.070	 54.545	   8.82	   0.20
node:X:parent:position=before,node:X:own:Voice=Act	    181	        4	 no      	 -0.008	 70.800	  97.79	   0.11
