Pattern                                            	p_occs 	 p_q_occs 	 Decision	   Coef	 coverage	 precision	 cramers_phi
------------------------------------------------------------------------------------------------------------------------
node:X:own:Tense=Past,node:X:parent:position=before,node:Y:own:has_child=No	     34	        1	 no      	 -0.016	 60.000	  97.06	   0.47
node:X:own:Tense=Past,node:X:parent:position=before,node:X:own:VerbForm=Fin	     34	        1	 no      	 -0.000	 60.000	  97.06	   0.47
node:X:own:Tense=Past,node:Y:own:has_child=No,node:X:child:rel_shallow=mark	     34	        1	 no      	 -0.012	 60.000	  97.06	   0.47
node:X:own:Tense=Pres,node:X:child:Gender=Neut    	     11	        7	 yes     	  0.023	 58.333	  63.64	   1.01
node:X:own:Tense=Past,node:X:own:Voice=Act,node:X:child:rel_shallow=mark	     34	        1	 no      	 -0.022	 60.000	  97.06	   0.47
node:X:own:Tense=Past,node:X:parent:position=before	     34	        1	 no      	 -0.000	 60.000	  97.06	   0.47
node:X:own:Tense=Past,node:X:child:rel_shallow=mark	     34	        1	 no      	 -0.030	 60.000	  97.06	   0.47
node:X:own:Tense=Pres,node:Y:own:has_child=No,node:X:child:Gender=Neut	     11	        7	 yes     	  0.057	 58.333	  63.64	   1.01
node:X:own:Tense=Pres,node:X:own:VerbForm=Fin,node:X:child:Gender=Neut	     11	        7	 yes     	  0.006	 58.333	  63.64	   1.01
node:X:own:Tense=Past,node:X:own:Voice=Act,node:X:parent:position=before	     34	        1	 no      	 -0.049	 60.000	  97.06	   0.47
node:X:own:Tense=Pres,node:X:own:Mood=Ind,node:X:child:Gender=Neut	     11	        7	 yes     	  0.234	 58.333	  63.64	   1.01
node:X:own:Tense=Pres,node:X:child:Number=Sing,node:X:child:Gender=Neut	     11	        7	 yes     	  0.010	 58.333	  63.64	   1.01
node:X:own:Tense=Past,node:X:own:VerbForm=Fin,node:X:child:rel_shallow=mark	     34	        1	 no      	 -0.086	 60.000	  97.06	   0.47
node:X:own:Voice=Act,node:X:child:PronType=Prs,node:X:child:rel_shallow=mark	     48	        4	 no      	 -0.003	 80.000	  91.67	   0.27
node:X:child:Definite=Ind,node:X:child:Gender=Neut,node:X:child:rel_shallow=obj	     19	        8	 yes     	  0.011	 66.667	  42.11	   0.56
node:X:child:Number=Sing,node:X:child:Gender=Neut,node:X:child:rel_shallow=obj	     19	        8	 yes     	  0.045	 66.667	  42.11	   0.56
node:X:child:upos=SCONJ,node:X:child:rel_shallow=nsubj	     53	        5	 no      	 -0.007	 87.273	  90.57	   0.24
node:X:child:upos=SCONJ,node:X:own:Voice=Act,node:X:child:rel_shallow=nsubj	     53	        5	 no      	 -0.007	 87.273	  90.57	   0.24
node:X:child:upos=SCONJ,node:X:own:VerbForm=Fin,node:X:child:rel_shallow=nsubj	     53	        5	 no      	 -0.013	 87.273	  90.57	   0.24
node:X:child:upos=SCONJ,node:Y:own:has_child=No,node:X:child:rel_shallow=nsubj	     53	        5	 no      	 -0.003	 87.273	  90.57	   0.24
