gold\system	_	acl	advcl	advmod	amod	appos	aux	case	cc	ccomp	compound	conj	cop	csubj	dep	det	discourse	dislocated	expl	fixed	flat	goeswith	iobj	mark	nmod	nsubj	nummod	obj	obl	orphan	parataxis	punct	root	vocative	xcomp
_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
acl	0	27	44	1	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	1	0	9	0	10	0	3
advcl	0	8	26	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	5	0	0	3	0	1	0	6	0	0
advmod	0	0	0	224	1	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	1	6	0	5	2	0	0	0	2	0	0
amod	0	0	0	5	197	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	8	5	0	0	0	1	0	0
appos	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	1	3	0	0	0	1	0	0
aux	0	0	3	0	0	0	64	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	6	0	0
case	0	0	0	6	0	0	0	340	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	17	2	4	0	3	1	0	0	0	0	0	0
cc	0	0	0	3	0	0	0	2	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
ccomp	0	0	19	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	3	0	3
compound	0	0	0	0	0	0	0	1	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
conj	0	10	16	1	19	0	1	1	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	10	3	1	0	14	0	10	0	3	0	3
cop	0	3	1	0	1	0	0	0	0	0	0	1	27	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	6	0	1
csubj	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
dep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
det	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	198	0	0	0	0	0	0	1	0	0	2	0	2	1	0	0	0	0	0	0
discourse	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
dislocated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
expl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
fixed	0	0	0	2	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
flat	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	4	5	0	1	0	0	0	0	0	0	0
goeswith	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
iobj	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	1	3	0	1	0	0	0	0	0	0	0
mark	0	1	0	9	0	0	2	4	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	118	0	5	0	0	1	0	0	1	0	0	0
nmod	0	0	0	1	2	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	190	8	0	2	36	0	0	0	0	0	1
nsubj	0	0	0	4	2	0	1	0	1	0	1	4	0	0	0	3	0	0	0	0	1	0	0	3	6	240	0	21	9	0	0	0	2	0	0
nummod	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
obj	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	21	1	3	20	0	117	13	0	0	0	1	0	2
obl	0	1	0	1	3	0	0	0	1	0	1	2	0	0	0	1	0	0	0	0	1	0	0	1	37	29	0	7	192	0	0	0	2	0	0
orphan	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
parataxis	0	2	7	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	5	0	0	0	1
punct	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0
root	0	4	13	1	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	1	5	0	2	5	0	7	0	54	0	4
vocative	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0
xcomp	0	1	19	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	10	7	0	0	0	2	0	31
