gold\system	_	acl	advcl	advmod	amod	appos	aux	case	cc	ccomp	compound	conj	cop	csubj	dep	det	discourse	dislocated	expl	fixed	flat	goeswith	iobj	mark	nmod	nsubj	nummod	obj	obl	orphan	parataxis	punct	reparandum	root	vocative	xcomp
_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
acl	0	70	9	1	1	2	0	0	0	1	0	10	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	6	0	0	2	0	1
advcl	0	6	36	2	0	2	1	1	0	0	0	4	0	0	0	0	0	1	0	0	0	0	1	1	3	3	0	0	0	0	0	0	0	1	0	0
advmod	0	0	4	230	0	0	0	3	1	0	0	7	0	0	0	0	1	0	0	0	0	0	0	2	3	4	0	4	4	0	0	0	0	1	0	0
amod	0	1	0	6	205	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	5	1	1	2	4	0	0	0	0	2	0	1
appos	0	0	0	0	0	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	1	0	0	0	1
aux	0	0	0	0	0	0	68	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0
case	0	0	0	6	0	0	0	354	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	13	2	2	0	3	5	0	0	1	0	0	0	0
cc	1	0	0	3	1	0	0	2	139	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ccomp	0	2	9	1	0	0	1	0	0	15	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
compound	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
conj	1	3	2	0	3	1	1	2	0	1	0	115	0	0	0	0	0	0	0	1	1	0	0	0	2	4	1	4	1	1	3	1	0	2	0	1
cop	0	1	5	1	0	1	0	0	0	0	1	1	28	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	1	0	0	3	0	1
csubj	0	0	2	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dep	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
det	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	201	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0
discourse	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dislocated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
expl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0
fixed	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
flat	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	1	1	0	2	0	0	0	0	0	1	0	0
goeswith	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
iobj	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	2	0	0	0	0	0	2	0	0
mark	0	1	0	7	0	0	1	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	129	1	1	0	0	3	0	1	0	0	0	0	0
nmod	0	0	0	1	1	2	0	0	0	0	1	4	0	0	0	0	0	0	0	0	5	0	0	0	223	2	0	2	17	1	0	0	0	0	0	1
nsubj	1	0	0	3	1	2	1	0	1	0	1	7	0	0	0	2	0	1	1	0	4	0	1	4	3	263	0	6	3	0	0	1	0	2	0	0
