gold\system	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	VERB	X
ADJ	222	1	5	0	0	0	0	17	0	0	0	1	0	0	3	0
ADP	0	292	7	0	0	0	0	5	0	0	3	3	0	3	1	0
ADV	2	1	189	0	1	0	2	15	0	2	0	1	0	1	2	0
AUX	1	0	0	67	0	0	1	8	0	0	0	0	0	0	17	0
CCONJ	0	0	3	0	120	0	0	2	0	0	0	0	0	1	0	0
DET	0	0	0	0	2	140	0	3	0	0	3	0	0	0	0	0
INTJ	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0
NOUN	2	0	2	1	0	0	0	507	0	0	1	15	0	0	3	0
NUM	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0
PART	0	0	0	0	0	0	2	0	0	50	0	0	1	1	1	0
PRON	2	0	1	0	2	2	0	10	1	0	292	13	1	4	1	0
PROPN	0	0	0	0	0	0	0	0	0	0	0	81	1	0	0	0
PUNCT	0	0	0	0	0	0	0	0	0	0	0	0	359	0	0	0
SCONJ	0	1	2	0	0	0	1	2	0	1	2	0	1	53	0	0
VERB	2	1	1	4	0	0	0	14	0	0	0	1	0	0	277	0
X	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0
