gold\system	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	VERB	X
ADJ	290	1	6	0	0	0	0	13	0	0	0	0	0	0	3	0
ADP	0	368	9	0	0	0	0	1	0	0	3	5	0	3	0	0
ADV	2	2	232	0	0	0	2	8	0	2	0	0	0	1	2	0
AUX	1	0	0	93	0	0	0	5	0	0	0	0	0	0	21	0
CCONJ	0	0	3	0	138	0	0	1	0	0	0	1	0	1	0	0
DET	0	0	0	0	2	201	0	0	0	0	4	0	0	0	0	0
INTJ	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0
NOUN	3	0	1	1	1	0	0	634	0	0	1	13	0	0	2	0
NUM	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0
PART	0	0	0	1	0	0	2	0	0	71	0	0	1	2	1	0
PRON	3	0	5	1	2	2	0	4	0	0	371	9	0	4	1	0
PROPN	0	0	0	0	0	0	0	1	0	0	0	98	0	0	0	0
PUNCT	0	1	0	0	0	0	0	0	0	0	0	0	425	0	0	0
SCONJ	0	2	2	1	0	0	1	1	0	1	2	0	1	67	0	0
VERB	2	1	1	6	0	0	0	10	0	0	0	2	0	0	349	0
X	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0
