gold\system	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	VERB	X
ADJ	228	0	4	0	0	0	1	12	0	0	0	0	0	0	3	0
ADP	0	301	7	0	0	0	0	0	0	0	3	3	0	3	0	0
ADV	2	1	196	0	0	0	2	8	0	2	0	0	0	1	0	0
AUX	1	0	0	68	0	0	0	5	0	0	0	0	0	0	18	0
CCONJ	0	0	2	0	119	0	0	1	0	0	0	1	0	1	0	0
DET	0	0	0	0	2	148	0	0	0	0	3	0	0	0	0	0
INTJ	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0
NOUN	2	0	1	1	0	0	0	522	0	0	1	8	0	0	3	0
NUM	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0
PART	0	0	0	0	0	0	2	0	0	52	0	0	1	1	1	0
PRON	2	0	2	0	1	2	1	4	0	0	301	9	0	4	0	0
PROPN	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0
PUNCT	0	0	0	0	0	0	0	0	0	0	0	0	352	0	0	0
SCONJ	0	2	2	0	0	0	1	1	0	1	2	0	1	53	0	0
VERB	2	1	1	5	0	0	0	10	0	0	0	1	0	0	282	0
X	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
