Sample: svediakorp-sec452-NyblomH_FantasierFyra, time period: 1850-1900
Metric	Precision	Recall	F1
vocative	0.0000	0.0000	0.0000
ccomp	0.0000	0.0000	0.0000
xcomp	0.0000	0.0000	0.0000
list	0.0000	0.0000	0.0000
discourse	0.0000	0.0000	0.0000
nummod	0.0000	0.0000	0.0000
fixed	0.0000	0.0000	0.0000
goeswith	0.0000	0.0000	0.0000
root	0.8000	0.8000	0.8000
obl	0.8750	0.8235	0.8485
flat	0.0000	0.0000	0.0000
acl	1.0000	0.8000	0.8889
advcl	0.1667	0.5000	0.2500
compound	1.0000	1.0000	1.0000
expl	0.0000	0.0000	0.0000
dep	0.0000	0.0000	0.0000
orphan	0.0000	0.0000	0.0000
amod	1.0000	0.8571	0.9231
csubj	0.0000	0.0000	0.0000
iobj	0.0000	0.0000	0.0000
nmod	0.9000	0.8182	0.8571
appos	1.0000	0.5000	0.6667
parataxis	0.5000	1.0000	0.6667
dislocated	0.0000	0.0000	0.0000
conj	0.7500	0.6000	0.6667
obj	0.8182	0.6923	0.7500
advmod	0.6667	0.8571	0.7500
nsubj	0.9565	1.0000	0.9778
reparandum	0.0000	0.0000	0.0000
TOTAL	0.8125	0.7982	0.8053

Sample: svediakorp-sec486-SchwartzMS_BellmansSkor, time period: 1850-1900
Metric	Precision	Recall	F1
vocative	0.0000	0.0000	0.0000
ccomp	0.0000	0.0000	0.0000
xcomp	1.0000	0.5000	0.6667
list	0.0000	0.0000	0.0000
discourse	0.0000	0.0000	0.0000
nummod	0.0000	0.0000	0.0000
fixed	0.0000	0.0000	0.0000
goeswith	0.0000	0.0000	0.0000
root	0.4286	0.6000	0.5000
obl	0.6364	0.7000	0.6667
flat	1.0000	0.5000	0.6667
acl	0.6000	0.6000	0.6000
advcl	0.6667	0.6667	0.6667
compound	0.0000	0.0000	0.0000
expl	0.0000	0.0000	0.0000
dep	0.0000	0.0000	0.0000
orphan	0.0000	0.0000	0.0000
amod	1.0000	1.0000	1.0000
csubj	0.0000	0.0000	0.0000
iobj	0.0000	0.0000	0.0000
nmod	1.0000	0.8000	0.8889
appos	0.0000	0.0000	0.0000
parataxis	0.0000	0.0000	0.0000
dislocated	0.0000	0.0000	0.0000
conj	0.6667	0.6667	0.6667
obj	0.8000	1.0000	0.8889
advmod	0.6364	0.8750	0.7368
nsubj	0.9231	0.9231	0.9231
reparandum	0.0000	0.0000	0.0000
TOTAL	0.7183	0.7612	0.7391

Sample: svediakorp-sec277-EnbomPU_MedborgeligtSkalde, time period: 1750-1800
Metric	Precision	Recall	F1
vocative	0.0000	0.0000	0.0000
ccomp	1.0000	0.2500	0.4000
xcomp	1.0000	0.5455	0.7059
list	0.0000	0.0000	0.0000
discourse	0.0000	0.0000	0.0000
nummod	0.0000	0.0000	0.0000
fixed	0.0000	0.0000	0.0000
goeswith	0.0000	0.0000	0.0000
root	0.5000	0.6250	0.5556
obl	0.7500	0.5625	0.6429
flat	0.0000	0.0000	0.0000
acl	0.7500	0.7500	0.7500
advcl	0.2500	0.6667	0.3636
compound	0.0000	0.0000	0.0000
expl	1.0000	1.0000	1.0000
dep	0.0000	0.0000	0.0000
orphan	0.0000	0.0000	0.0000
amod	0.7857	0.8462	0.8148
csubj	0.0000	0.0000	0.0000
iobj	0.0000	0.0000	0.0000
nmod	0.7895	0.9375	0.8571
appos	0.0000	0.0000	0.0000
parataxis	0.0000	0.0000	0.0000
dislocated	0.0000	0.0000	0.0000
conj	0.4615	0.6000	0.5217
obj	0.8235	0.7368	0.7778
advmod	1.0000	0.8462	0.9167
nsubj	0.8500	0.8947	0.8718
reparandum	0.0000	0.0000	0.0000
TOTAL	0.7075	0.7172	0.7123

Sample: svediakorp-sec991-spf148, time period: 1800-1850
Metric	Precision	Recall	F1
vocative	0.0000	0.0000	0.0000
ccomp	0.0000	0.0000	0.0000
xcomp	0.6000	0.7500	0.6667
list	0.0000	0.0000	0.0000
discourse	0.0000	0.0000	0.0000
nummod	1.0000	1.0000	1.0000
fixed	0.0000	0.0000	0.0000
goeswith	0.0000	0.0000	0.0000
root	0.8571	0.7500	0.8000
obl	0.9000	0.7826	0.8372
flat	0.0000	0.0000	0.0000
acl	1.0000	0.3636	0.5333
advcl	0.0000	0.0000	0.0000
compound	1.0000	1.0000	1.0000
expl	0.0000	0.0000	0.0000
dep	0.0000	0.0000	0.0000
orphan	0.0000	0.0000	0.0000
amod	0.9474	0.9000	0.9231
csubj	0.0000	0.0000	0.0000
iobj	0.0000	0.0000	0.0000
nmod	0.7692	0.9091	0.8333
appos	0.0000	0.0000	0.0000
parataxis	0.0000	0.0000	0.0000
dislocated	0.0000	0.0000	0.0000
conj	0.7647	0.9286	0.8387
obj	0.8000	0.5714	0.6667
advmod	0.8571	1.0000	0.9231
nsubj	0.7143	0.7143	0.7143
reparandum	0.0000	0.0000	0.0000
TOTAL	0.7823	0.7718	0.7770

Sample: svediakorp-sec631-HasselskogN_HallaHallaGronkoping, time period: 1900-1950
Metric	Precision	Recall	F1
vocative	0.0000	0.0000	0.0000
ccomp	0.0000	0.0000	0.0000
xcomp	0.7500	0.8571	0.8000
list	0.0000	0.0000	0.0000
discourse	1.0000	1.0000	1.0000
nummod	0.0000	0.0000	0.0000
fixed	0.5000	1.0000	0.6667
goeswith	0.0000	0.0000	0.0000
root	0.5000	0.6000	0.5455
obl	0.9667	0.8056	0.8788
flat	0.0000	0.0000	0.0000
acl	0.7000	1.0000	0.8235
advcl	0.4286	0.6000	0.5000
compound	1.0000	1.0000	1.0000
expl	0.0000	0.0000	0.0000
dep	0.0000	0.0000	0.0000
orphan	0.0000	0.0000	0.0000
amod	1.0000	0.9655	0.9825
csubj	1.0000	0.5000	0.6667
iobj	1.0000	1.0000	1.0000
nmod	0.9412	0.9697	0.9552
appos	0.5000	0.6667	0.5714
parataxis	1.0000	1.0000	1.0000
dislocated	0.0000	0.0000	0.0000
conj	0.8125	0.8125	0.8125
obj	0.8333	0.6667	0.7407
advmod	0.9545	0.9545	0.9545
nsubj	0.7500	0.8824	0.8108
reparandum	0.0000	0.0000	0.0000
TOTAL	0.8524	0.8647	0.8585

Sample: svediakorp-sec252-BremerF_Teckningar1, time period: 1800-1850
Metric	Precision	Recall	F1
vocative	0.0000	0.0000	0.0000
ccomp	1.0000	1.0000	1.0000
xcomp	0.0000	0.0000	0.0000
list	0.0000	0.0000	0.0000
discourse	0.0000	0.0000	0.0000
nummod	0.0000	0.0000	0.0000
fixed	0.0000	0.0000	0.0000
goeswith	0.0000	0.0000	0.0000
root	1.0000	1.0000	1.0000
obl	1.0000	0.7500	0.8571
flat	0.0000	0.0000	0.0000
acl	1.0000	1.0000	1.0000
advcl	1.0000	1.0000	1.0000
compound	1.0000	1.0000	1.0000
expl	0.0000	0.0000	0.0000
dep	0.0000	0.0000	0.0000
orphan	0.0000	0.0000	0.0000
amod	1.0000	1.0000	1.0000
csubj	0.0000	0.0000	0.0000
iobj	0.0000	0.0000	0.0000
nmod	1.0000	1.0000	1.0000
appos	0.0000	0.0000	0.0000
parataxis	1.0000	1.0000	1.0000
dislocated	0.0000	0.0000	0.0000
conj	0.0000	0.0000	0.0000
obj	1.0000	1.0000	1.0000
advmod	1.0000	1.0000	1.0000
nsubj	0.8750	0.8750	0.8750
reparandum	0.0000	0.0000	0.0000
TOTAL	0.9355	0.9355	0.9355

Sample: svediakorp-sec1102-spf259, time period: 1850-1900
Metric	Precision	Recall	F1
vocative	0.0000	0.0000	0.0000
ccomp	0.0000	0.0000	0.0000
xcomp	1.0000	0.5000	0.6667
list	0.0000	0.0000	0.0000
discourse	0.0000	0.0000	0.0000
nummod	0.0000	0.0000	0.0000
fixed	0.0000	0.0000	0.0000
goeswith	0.0000	0.0000	0.0000
root	0.8000	0.8000	0.8000
obl	1.0000	0.7778	0.8750
flat	1.0000	1.0000	1.0000
acl	0.5000	0.5000	0.5000
advcl	1.0000	0.8333	0.9091
compound	1.0000	1.0000	1.0000
expl	0.0000	0.0000	0.0000
dep	0.0000	0.0000	0.0000
orphan	0.0000	0.0000	0.0000
amod	1.0000	1.0000	1.0000
csubj	0.0000	0.0000	0.0000
iobj	0.0000	0.0000	0.0000
nmod	0.5000	1.0000	0.6667
appos	0.0000	0.0000	0.0000
parataxis	0.0000	0.0000	0.0000
dislocated	0.0000	0.0000	0.0000
conj	0.7000	0.6364	0.6667
obj	0.7500	0.6000	0.6667
advmod	0.8750	0.9333	0.9032
nsubj	0.7778	0.9333	0.8485
reparandum	0.0000	0.0000	0.0000
TOTAL	0.7944	0.8019	0.7981

Sample: svediakorp-letter141673-Stalhammar, time period: 1700-1750
Metric	Precision	Recall	F1
vocative	0.0000	0.0000	0.0000
ccomp	0.0000	0.0000	0.0000
xcomp	0.5000	1.0000	0.6667
list	0.0000	0.0000	0.0000
discourse	0.0000	0.0000	0.0000
nummod	1.0000	0.6667	0.8000
fixed	0.0000	0.0000	0.0000
goeswith	0.0000	0.0000	0.0000
root	0.2857	0.4000	0.3333
obl	0.5000	0.5000	0.5000
flat	0.0000	0.0000	0.0000
acl	0.0000	0.0000	0.0000
advcl	0.0000	0.0000	0.0000
compound	0.0000	0.0000	0.0000
expl	0.0000	0.0000	0.0000
dep	0.0000	0.0000	0.0000
orphan	0.0000	0.0000	0.0000
amod	0.8333	0.4545	0.5882
csubj	0.0000	0.0000	0.0000
iobj	0.0000	0.0000	0.0000
nmod	0.3913	0.6429	0.4865
appos	0.0000	0.0000	0.0000
parataxis	0.0000	0.0000	0.0000
dislocated	0.0000	0.0000	0.0000
conj	0.2500	0.6667	0.3636
obj	0.1250	0.2000	0.1538
advmod	0.2500	0.1333	0.1739
nsubj	0.0000	0.0000	0.0000
reparandum	0.0000	0.0000	0.0000
TOTAL	0.3071	0.3391	0.3223

Sample: svediakorp-sec208-Anonym_DetGrasligaMordet, time period: 1850-1900
Metric	Precision	Recall	F1
vocative	0.0000	0.0000	0.0000
ccomp	0.0000	0.0000	0.0000
xcomp	1.0000	0.6667	0.8000
list	0.0000	0.0000	0.0000
discourse	0.0000	0.0000	0.0000
nummod	1.0000	1.0000	1.0000
fixed	0.0000	0.0000	0.0000
goeswith	0.0000	0.0000	0.0000
root	1.0000	1.0000	1.0000
obl	0.8889	0.8889	0.8889
flat	0.0000	0.0000	0.0000
acl	0.5000	0.5000	0.5000
advcl	0.0000	0.0000	0.0000
compound	0.0000	0.0000	0.0000
expl	0.0000	0.0000	0.0000
dep	0.0000	0.0000	0.0000
orphan	0.0000	0.0000	0.0000
amod	1.0000	1.0000	1.0000
csubj	0.0000	0.0000	0.0000
iobj	0.0000	0.0000	0.0000
nmod	0.8889	0.8889	0.8889
appos	1.0000	1.0000	1.0000
parataxis	0.0000	0.0000	0.0000
dislocated	0.0000	0.0000	0.0000
conj	0.6667	1.0000	0.8000
obj	1.0000	1.0000	1.0000
advmod	1.0000	0.8571	0.9231
nsubj	0.8571	1.0000	0.9231
reparandum	0.0000	0.0000	0.0000
TOTAL	0.8269	0.8269	0.8269

Sample: svediakorp-sec613-EngstromA_StrindbergOchJag, time period: 1900-1950
Metric	Precision	Recall	F1
vocative	0.0000	0.0000	0.0000
ccomp	0.0000	0.0000	0.0000
xcomp	1.0000	0.5000	0.6667
list	0.0000	0.0000	0.0000
