Sample: svediakorp-sec452-NyblomH_FantasierFyra, time period: 1850-1900
Metric	Precision	Recall	F1
cc	0.8000	1.0000	0.8889
discourse	0.0000	0.0000	0.0000
dislocated	0.0000	0.0000	0.0000
compound	1.0000	1.0000	1.0000
orphan	0.0000	0.0000	0.0000
flat	0.0000	0.0000	0.0000
fixed	0.0000	0.0000	0.0000
nmod	0.9000	0.8182	0.8571
iobj	0.0000	0.0000	0.0000
list	0.0000	0.0000	0.0000
csubj	0.0000	0.0000	0.0000
expl	0.0000	0.0000	0.0000
acl	1.0000	0.8000	0.8889
dep	0.0000	0.0000	0.0000
xcomp	0.0000	0.0000	0.0000
ccomp	0.0000	0.0000	0.0000
obj	0.8333	0.7692	0.8000
mark	0.4286	1.0000	0.6000
reparandum	0.0000	0.0000	0.0000
obl	0.8824	0.8824	0.8824
aux	0.0000	0.0000	0.0000
punct	1.0000	1.0000	1.0000
advmod	0.6000	0.8571	0.7059
conj	1.0000	0.6000	0.7500
case	1.0000	0.9500	0.9744
parataxis	0.5000	1.0000	0.6667
det	0.9091	1.0000	0.9524
cop	0.0000	0.0000	0.0000
root	0.8000	0.8000	0.8000
nsubj	0.9500	0.8636	0.9048
goeswith	0.0000	0.0000	0.0000
nummod	0.0000	0.0000	0.0000
advcl	0.2500	0.5000	0.3333
vocative	0.0000	0.0000	0.0000
amod	1.0000	0.8571	0.9231
appos	0.5000	0.5000	0.5000
clf	0.0000	0.0000	0.0000
TOTAL	0.8610	0.8610	0.8610

Sample: svediakorp-sec486-SchwartzMS_BellmansSkor, time period: 1850-1900
Metric	Precision	Recall	F1
cc	1.0000	0.5000	0.6667
discourse	0.0000	0.0000	0.0000
dislocated	0.0000	0.0000	0.0000
compound	0.0000	0.0000	0.0000
orphan	0.0000	0.0000	0.0000
flat	1.0000	0.5000	0.6667
fixed	0.0000	0.0000	0.0000
nmod	0.6667	0.8000	0.7273
iobj	0.0000	0.0000	0.0000
list	0.0000	0.0000	0.0000
csubj	0.0000	0.0000	0.0000
expl	0.0000	0.0000	0.0000
acl	0.6000	0.6000	0.6000
dep	0.0000	0.0000	0.0000
xcomp	1.0000	0.5000	0.6667
ccomp	0.0000	0.0000	0.0000
obj	0.8000	1.0000	0.8889
mark	0.8333	1.0000	0.9091
reparandum	0.0000	0.0000	0.0000
obl	0.7778	0.7000	0.7368
aux	0.0000	0.0000	0.0000
punct	1.0000	1.0000	1.0000
advmod	0.6364	0.8750	0.7368
conj	0.6667	0.6667	0.6667
case	0.9091	0.7692	0.8333
parataxis	0.0000	0.0000	0.0000
det	1.0000	1.0000	1.0000
cop	1.0000	1.0000	1.0000
