Sample: svediakorp-sec452-NyblomH_FantasierFyra, time period: 1850-1900
Metric	Precision	Recall	F1
AUX	0.0000	0.0000	0.0000
PART	1.0000	1.0000	1.0000
VERB	0.9583	1.0000	0.9787
PRON	1.0000	0.8571	0.9231
ADV	0.7000	1.0000	0.8235
CCONJ	0.6667	1.0000	0.8000
SYM	0.0000	0.0000	0.0000
PROPN	1.0000	0.8000	0.8889
DET	0.9091	0.9091	0.9091
SCONJ	0.5000	1.0000	0.6667
NUM	0.0000	0.0000	0.0000
ADP	1.0000	1.0000	1.0000
NOUN	0.9412	1.0000	0.9697
X	0.0000	0.0000	0.0000
INTJ	0.0000	0.0000	0.0000
ADJ	1.0000	0.8125	0.8966
PUNCT	1.0000	1.0000	1.0000
TOTAL	0.9465	0.9465	0.9465
Sample: svediakorp-sec486-SchwartzMS_BellmansSkor, time period: 1850-1900
Metric	Precision	Recall	F1
AUX	1.0000	0.8571	0.9231
PART	1.0000	1.0000	1.0000
VERB	0.9091	1.0000	0.9524
PRON	1.0000	1.0000	1.0000
ADV	0.9167	1.0000	0.9565
CCONJ	1.0000	1.0000	1.0000
SYM	0.0000	0.0000	0.0000
PROPN	1.0000	0.7143	0.8333
DET	1.0000	1.0000	1.0000
SCONJ	1.0000	1.0000	1.0000
NUM	1.0000	1.0000	1.0000
ADP	1.0000	0.9167	0.9565
NOUN	0.8824	1.0000	0.9375
X	0.0000	0.0000	0.0000
INTJ	0.0000	0.0000	0.0000
ADJ	1.0000	1.0000	1.0000
PUNCT	1.0000	1.0000	1.0000
TOTAL	0.9664	0.9664	0.9664
Sample: svediakorp-sec277-EnbomPU_MedborgeligtSkalde, time period: 1750-1800
Metric	Precision	Recall	F1
AUX	0.8571	0.6667	0.7500
PART	1.0000	0.8889	0.9412
VERB	0.8710	0.9000	0.8852
PRON	0.9286	0.8125	0.8667
ADV	0.8333	0.9091	0.8696
CCONJ	1.0000	1.0000	1.0000
SYM	0.0000	0.0000	0.0000
PROPN	0.4545	0.7143	0.5556
DET	1.0000	1.0000	1.0000
SCONJ	1.0000	0.3333	0.5000
NUM	0.0000	0.0000	0.0000
ADP	0.9167	1.0000	0.9565
NOUN	0.8085	0.9048	0.8539
X	0.0000	0.0000	0.0000
INTJ	0.0000	0.0000	0.0000
ADJ	1.0000	0.8000	0.8889
PUNCT	0.9688	1.0000	0.9841
TOTAL	0.8819	0.8819	0.8819
Sample: svediakorp-sec991-spf148, time period: 1800-1850
Metric	Precision	Recall	F1
AUX	0.7500	0.5000	0.6000
PART	1.0000	1.0000	1.0000
VERB	0.9500	0.8636	0.9048
PRON	0.9375	0.8333	0.8824
ADV	0.7333	1.0000	0.8462
CCONJ	0.9333	1.0000	0.9655
SYM	0.0000	0.0000	0.0000
PROPN	0.6667	1.0000	0.8000
DET	1.0000	1.0000	1.0000
SCONJ	0.0000	0.0000	0.0000
NUM	1.0000	1.0000	1.0000
ADP	1.0000	1.0000	1.0000
NOUN	0.8889	0.9825	0.9333
X	0.0000	0.0000	0.0000
INTJ	0.0000	0.0000	0.0000
ADJ	1.0000	0.8286	0.9062
PUNCT	1.0000	1.0000	1.0000
TOTAL	0.9328	0.9328	0.9328
Sample: svediakorp-sec631-HasselskogN_HallaHallaGronkoping, time period: 1900-1950
Metric	Precision	Recall	F1
AUX	0.9000	0.9000	0.9000
PART	1.0000	1.0000	1.0000
VERB	1.0000	0.9333	0.9655
PRON	0.9697	0.9412	0.9552
ADV	0.8519	0.9200	0.8846
CCONJ	0.9333	0.8235	0.8750
SYM	0.0000	0.0000	0.0000
PROPN	1.0000	0.7500	0.8571
DET	0.9444	1.0000	0.9714
SCONJ	0.5000	0.5000	0.5000
NUM	0.0000	0.0000	0.0000
ADP	0.9600	0.9231	0.9412
NOUN	0.9500	0.9870	0.9682
X	0.0000	0.0000	0.0000
INTJ	0.0000	0.0000	0.0000
ADJ	0.9231	0.9730	0.9474
PUNCT	1.0000	1.0000	1.0000
TOTAL	0.9478	0.9478	0.9478
Sample: svediakorp-sec252-BremerF_Teckningar1, time period: 1800-1850
Metric	Precision	Recall	F1
AUX	1.0000	1.0000	1.0000
PART	1.0000	1.0000	1.0000
VERB	1.0000	1.0000	1.0000
PRON	1.0000	1.0000	1.0000
ADV	0.7500	1.0000	0.8571
CCONJ	0.0000	0.0000	0.0000
SYM	0.0000	0.0000	0.0000
PROPN	0.0000	0.0000	0.0000
DET	1.0000	1.0000	1.0000
SCONJ	1.0000	1.0000	1.0000
NUM	0.0000	0.0000	0.0000
ADP	1.0000	1.0000	1.0000
NOUN	1.0000	0.8333	0.9091
X	0.0000	0.0000	0.0000
INTJ	0.0000	0.0000	0.0000
ADJ	0.8000	1.0000	0.8889
PUNCT	1.0000	1.0000	1.0000
TOTAL	0.9630	0.9630	0.9630
Sample: svediakorp-sec1102-spf259, time period: 1850-1900
Metric	Precision	Recall	F1
AUX	1.0000	0.7500	0.8571
PART	1.0000	1.0000	1.0000
VERB	0.9412	0.8421	0.8889
PRON	0.9231	1.0000	0.9600
ADV	0.9444	0.9444	0.9444
CCONJ	1.0000	1.0000	1.0000
SYM	0.0000	0.0000	0.0000
PROPN	1.0000	1.0000	1.0000
DET	1.0000	1.0000	1.0000
SCONJ	0.8571	0.8571	0.8571
NUM	0.0000	0.0000	0.0000
ADP	1.0000	1.0000	1.0000
NOUN	0.8889	0.9697	0.9275
X	0.0000	0.0000	0.0000
INTJ	0.0000	0.0000	0.0000
ADJ	1.0000	1.0000	1.0000
PUNCT	1.0000	1.0000	1.0000
TOTAL	0.9574	0.9574	0.9574
Sample: svediakorp-letter141673-Stalhammar, time period: 1700-1750
Metric	Precision	Recall	F1
AUX	0.7500	0.8571	0.8000
PART	0.0000	0.0000	0.0000
VERB	0.7333	0.8462	0.7857
PRON	0.7647	0.6500	0.7027
ADV	0.3333	0.2500	0.2857
CCONJ	0.9000	0.8182	0.8571
SYM	0.0000	0.0000	0.0000
PROPN	0.4000	0.8571	0.5455
DET	1.0000	0.7500	0.8571
SCONJ	1.0000	0.4000	0.5714
NUM	0.7500	1.0000	0.8571
ADP	0.8421	0.8421	0.8421
NOUN	0.6842	0.7027	0.6933
X	0.0000	0.0000	0.0000
INTJ	0.0000	0.0000	0.0000
ADJ	0.8000	0.6667	0.7273
PUNCT	1.0000	1.0000	1.0000
TOTAL	0.7191	0.7191	0.7191
Sample: svediakorp-sec208-Anonym_DetGrasligaMordet, time period: 1850-1900
Metric	Precision	Recall	F1
AUX	1.0000	1.0000	1.0000
PART	1.0000	1.0000	1.0000
VERB	1.0000	1.0000	1.0000
PRON	1.0000	1.0000	1.0000
ADV	1.0000	1.0000	1.0000
CCONJ	1.0000	1.0000	1.0000
SYM	0.0000	0.0000	0.0000
PROPN	1.0000	1.0000	1.0000
DET	1.0000	1.0000	1.0000
SCONJ	1.0000	1.0000	1.0000
NUM	1.0000	1.0000	1.0000
ADP	1.0000	1.0000	1.0000
NOUN	1.0000	1.0000	1.0000
X	0.0000	0.0000	0.0000
INTJ	0.0000	0.0000	0.0000
ADJ	1.0000	1.0000	1.0000
PUNCT	1.0000	1.0000	1.0000
TOTAL	1.0000	1.0000	1.0000
Sample: svediakorp-sec613-EngstromA_StrindbergOchJag, time period: 1900-1950
Metric	Precision	Recall	F1
AUX	1.0000	1.0000	1.0000
PART	1.0000	1.0000	1.0000
VERB	1.0000	1.0000	1.0000
PRON	0.9167	1.0000	0.9565
ADV	1.0000	1.0000	1.0000
CCONJ	1.0000	0.8333	0.9091
SYM	0.0000	0.0000	0.0000
PROPN	1.0000	1.0000	1.0000
DET	0.8750	0.8750	0.8750
SCONJ	1.0000	1.0000	1.0000
NUM	1.0000	1.0000	1.0000
ADP	1.0000	1.0000	1.0000
NOUN	1.0000	1.0000	1.0000
X	0.0000	0.0000	0.0000
INTJ	0.0000	0.0000	0.0000
ADJ	1.0000	1.0000	1.0000
PUNCT	1.0000	1.0000	1.0000
TOTAL	0.9854	0.9854	0.9854
Sample: svediakorp-sec324-GranbergPA_Enslighetsalskaren, time period: 1800-1850
Metric	Precision	Recall	F1
AUX	1.0000	1.0000	1.0000
PART	1.0000	1.0000	1.0000
VERB	0.9000	1.0000	0.9474
PRON	0.9524	0.8333	0.8889
ADV	0.9231	0.9231	0.9231
CCONJ	1.0000	1.0000	1.0000
SYM	0.0000	0.0000	0.0000
PROPN	0.0000	0.0000	0.0000
DET	1.0000	0.8333	0.9091
SCONJ	0.7143	1.0000	0.8333
NUM	0.0000	0.0000	0.0000
ADP	1.0000	1.0000	1.0000
NOUN	0.9565	0.8800	0.9167
X	0.0000	0.0000	0.0000
INTJ	0.0000	0.0000	0.0000
ADJ	0.6000	1.0000	0.7500
PUNCT	1.0000	1.0000	1.0000
TOTAL	0.9281	0.9281	0.9281
Sample: svediakorp-sec1033-spf190, time period: 1900-1950
Metric	Precision	Recall	F1
AUX	0.7500	1.0000	0.8571
PART	0.5000	1.0000	0.6667
VERB	1.0000	0.8333	0.9091
PRON	1.0000	0.9231	0.9600
ADV	1.0000	0.9286	0.9630
CCONJ	1.0000	1.0000	1.0000
SYM	0.0000	0.0000	0.0000
PROPN	1.0000	0.8000	0.8889
DET	0.8000	1.0000	0.8889
SCONJ	1.0000	0.7500	0.8571
NUM	0.0000	0.0000	0.0000
ADP	0.9231	1.0000	0.9600
NOUN	0.9286	1.0000	0.9630
X	0.0000	0.0000	0.0000
INTJ	0.0000	0.0000	0.0000
ADJ	0.9000	0.9000	0.9000
PUNCT	1.0000	1.0000	1.0000
TOTAL	0.9449	0.9449	0.9449
Sample: svediakorp-sec25-Runius, time period: 1700-1750
Metric	Precision	Recall	F1
AUX	0.0000	0.0000	0.0000
PART	0.0000	0.0000	0.0000
VERB	0.8333	1.0000	0.9091
PRON	0.8889	0.8889	0.8889
ADV	0.7500	0.5000	0.6000
CCONJ	1.0000	1.0000	1.0000
SYM	0.0000	0.0000	0.0000
PROPN	0.0000	0.0000	0.0000
DET	1.0000	1.0000	1.0000
SCONJ	0.0000	0.0000	0.0000
NUM	0.0000	0.0000	0.0000
ADP	1.0000	1.0000	1.0000
NOUN	1.0000	0.9000	0.9474
X	0.0000	0.0000	0.0000
INTJ	0.0000	0.0000	0.0000
ADJ	1.0000	1.0000	1.0000
PUNCT	1.0000	1.0000	1.0000
TOTAL	0.8776	0.8776	0.8776
Sample: svediakorp-sec254-CederborghF_BerattelseOmJohnHall, time period: 1800-1850
Metric	Precision	Recall	F1
AUX	0.7143	0.9091	0.8000
PART	1.0000	1.0000	1.0000
VERB	0.8421	0.8000	0.8205
PRON	0.9600	0.9600	0.9600
ADV	0.8500	0.8947	0.8718
CCONJ	1.0000	0.9167	0.9565
SYM	0.0000	0.0000	0.0000
PROPN	0.7500	0.5455	0.6316
DET	1.0000	1.0000	1.0000
SCONJ	0.6667	1.0000	0.8000
