Sample: svediakorp-sec452-NyblomH_FantasierFyra, time period: 1850-1900
Metric	Precision	Recall	F1
expl	0.0000	0.0000	0.0000
flat	0.0000	0.0000	0.0000
iobj	0.0000	0.0000	0.0000
vocative	0.0000	0.0000	0.0000
clf	0.0000	0.0000	0.0000
cc	0.0000	0.0000	0.0000
xcomp	0.0000	0.0000	0.0000
root	0.4000	0.4000	0.4000
orphan	0.0000	0.0000	0.0000
goeswith	0.0000	0.0000	0.0000
cop	0.0000	0.0000	0.0000
dep	0.0000	0.0000	0.0000
punct	1.0000	1.0000	1.0000
mark	0.0000	0.0000	0.0000
list	0.0000	0.0000	0.0000
aux	0.0000	0.0000	0.0000
advcl	0.0000	0.0000	0.0000
appos	0.0000	0.0000	0.0000
det	0.6667	1.0000	0.8000
amod	0.0000	0.0000	0.0000
fixed	0.0000	0.0000	0.0000
nummod	0.0000	0.0000	0.0000
parataxis	0.0000	0.0000	0.0000
reparandum	0.0000	0.0000	0.0000
dislocated	0.0000	0.0000	0.0000
ccomp	0.0000	0.0000	0.0000
csubj	0.0000	0.0000	0.0000
advmod	0.1842	1.0000	0.3111
nmod	0.0000	0.0000	0.0000
obj	0.2500	0.6154	0.3556
compound	0.0000	0.0000	0.0000
case	0.9048	0.9500	0.9268
conj	0.0000	0.0000	0.0000
obl	0.0000	0.0000	0.0000
discourse	0.0000	0.0000	0.0000
acl	0.0000	0.0000	0.0000
nsubj	0.4865	0.8182	0.6102
TOTAL	0.5294	0.5294	0.5294

Sample: svediakorp-sec486-SchwartzMS_BellmansSkor, time period: 1850-1900
Metric	Precision	Recall	F1
expl	0.0000	0.0000	0.0000
flat	0.0000	0.0000	0.0000
iobj	0.0000	0.0000	0.0000
vocative	0.0000	0.0000	0.0000
clf	0.0000	0.0000	0.0000
cc	0.0000	0.0000	0.0000
xcomp	0.0000	0.0000	0.0000
root	0.1667	0.2000	0.1818
orphan	0.0000	0.0000	0.0000
goeswith	0.0000	0.0000	0.0000
cop	0.0000	0.0000	0.0000
dep	0.0000	0.0000	0.0000
punct	1.0000	1.0000	1.0000
mark	0.0000	0.0000	0.0000
list	0.0000	0.0000	0.0000
aux	0.0000	0.0000	0.0000
advcl	0.0000	0.0000	0.0000
appos	0.0000	0.0000	0.0000
det	0.8571	1.0000	0.9231
amod	0.4286	0.6000	0.5000
fixed	0.0000	0.0000	0.0000
nummod	0.0000	0.0000	0.0000
parataxis	0.0000	0.0000	0.0000
reparandum	0.0000	0.0000	0.0000
dislocated	0.0000	0.0000	0.0000
ccomp	0.0000	0.0000	0.0000
csubj	0.0000	0.0000	0.0000
advmod	0.2333	0.8750	0.3684
nmod	0.0000	0.0000	0.0000
obj	0.1176	0.5000	0.1905
compound	0.0000	0.0000	0.0000
case	0.8333	0.7692	0.8000
conj	0.0000	0.0000	0.0000
obl	0.0000	0.0000	0.0000
discourse	0.0000	0.0000	0.0000
acl	0.0000	0.0000	0.0000
nsubj	0.4375	0.5385	0.4828
TOTAL	0.4454	0.4454	0.4454

Sample: svediakorp-sec277-EnbomPU_MedborgeligtSkalde, time period: 1750-1800
Metric	Precision	Recall	F1
expl	0.0000	0.0000	0.0000
flat	0.0000	0.0000	0.0000
iobj	0.0000	0.0000	0.0000
vocative	0.0000	0.0000	0.0000
clf	0.0000	0.0000	0.0000
cc	0.0000	0.0000	0.0000
xcomp	0.0000	0.0000	0.0000
root	0.1818	0.2500	0.2105
orphan	0.0000	0.0000	0.0000
goeswith	0.0000	0.0000	0.0000
cop	0.0000	0.0000	0.0000
dep	0.0000	0.0000	0.0000
punct	1.0000	1.0000	1.0000
mark	0.0000	0.0000	0.0000
list	0.0000	0.0000	0.0000
aux	0.0000	0.0000	0.0000
advcl	0.0000	0.0000	0.0000
appos	0.0000	0.0000	0.0000
det	0.6154	0.8000	0.6957
amod	0.4286	0.2308	0.3000
fixed	0.0000	0.0000	0.0000
nummod	0.0000	0.0000	0.0000
parataxis	0.0000	0.0000	0.0000
reparandum	0.0000	0.0000	0.0000
dislocated	0.0000	0.0000	0.0000
ccomp	0.0000	0.0000	0.0000
csubj	0.0000	0.0000	0.0000
advmod	0.2034	0.9231	0.3333
nmod	0.0000	0.0000	0.0000
obj	0.2581	0.4211	0.3200
compound	0.0000	0.0000	0.0000
case	0.7692	0.9524	0.8511
conj	0.0000	0.0000	0.0000
obl	1.0000	0.0625	0.1176
discourse	0.0000	0.0000	0.0000
acl	0.0000	0.0000	0.0000
nsubj	0.2727	0.7895	0.4054
TOTAL	0.4219	0.4219	0.4219

Sample: svediakorp-sec991-spf148, time period: 1800-1850
Metric	Precision	Recall	F1
expl	0.0000	0.0000	0.0000
flat	0.0000	0.0000	0.0000
iobj	0.0000	0.0000	0.0000
vocative	0.0000	0.0000	0.0000
clf	0.0000	0.0000	0.0000
cc	0.0000	0.0000	0.0000
xcomp	0.0000	0.0000	0.0000
root	0.6250	0.6250	0.6250
orphan	0.0000	0.0000	0.0000
goeswith	0.0000	0.0000	0.0000
cop	0.0000	0.0000	0.0000
dep	0.0000	0.0000	0.0000
punct	0.9189	0.9714	0.9444
mark	0.0000	0.0000	0.0000
list	0.0000	0.0000	0.0000
aux	0.0000	0.0000	0.0000
advcl	0.0000	0.0000	0.0000
appos	0.0000	0.0000	0.0000
det	0.7778	0.8750	0.8235
amod	0.3077	0.2000	0.2424
fixed	0.0000	0.0000	0.0000
nummod	0.0000	0.0000	0.0000
parataxis	0.0000	0.0000	0.0000
reparandum	0.0000	0.0000	0.0000
dislocated	0.0000	0.0000	0.0000
ccomp	0.0000	0.0000	0.0000
csubj	0.0000	0.0000	0.0000
advmod	0.2609	1.0000	0.4138
nmod	0.0000	0.0000	0.0000
obj	0.2286	0.5714	0.3265
compound	0.0000	0.0000	0.0000
case	0.7895	1.0000	0.8824
conj	0.0000	0.0000	0.0000
obl	0.0000	0.0000	0.0000
discourse	0.0000	0.0000	0.0000
acl	0.0000	0.0000	0.0000
nsubj	0.1864	0.7857	0.3014
TOTAL	0.4627	0.4664	0.4646

Sample: svediakorp-sec631-HasselskogN_HallaHallaGronkoping, time period: 1900-1950
Metric	Precision	Recall	F1
expl	0.0000	0.0000	0.0000
flat	0.0000	0.0000	0.0000
iobj	0.0000	0.0000	0.0000
vocative	0.0000	0.0000	0.0000
clf	0.0000	0.0000	0.0000
