Sample: svediakorp-sec452-NyblomH_FantasierFyra, time period: 1850-1900
Metric	Precision	Recall	F1
compound	1.0000	1.0000	1.0000
expl	0.0000	0.0000	0.0000
fixed	0.0000	0.0000	0.0000
obl	0.8750	0.8235	0.8485
nummod	0.0000	0.0000	0.0000
flat	0.0000	0.0000	0.0000
advcl	0.1667	0.5000	0.2500
cc	1.0000	1.0000	1.0000
goeswith	0.0000	0.0000	0.0000
aux	0.0000	0.0000	0.0000
case	1.0000	0.9500	0.9744
conj	0.7500	0.6000	0.6667
orphan	0.0000	0.0000	0.0000
appos	1.0000	0.5000	0.6667
discourse	0.0000	0.0000	0.0000
acl	1.0000	0.8000	0.8889
csubj	0.0000	0.0000	0.0000
ccomp	0.0000	0.0000	0.0000
det	0.9091	1.0000	0.9524
vocative	0.0000	0.0000	0.0000
advmod	0.6667	0.8571	0.7500
mark	0.5000	1.0000	0.6667
nmod	0.9000	0.8182	0.8571
punct	1.0000	1.0000	1.0000
reparandum	0.0000	0.0000	0.0000
amod	1.0000	0.8571	0.9231
xcomp	0.0000	0.0000	0.0000
cop	0.0000	0.0000	0.0000
nsubj	0.9565	1.0000	0.9778
dep	0.0000	0.0000	0.0000
iobj	0.0000	0.0000	0.0000
clf	0.0000	0.0000	0.0000
dislocated	0.0000	0.0000	0.0000
list	0.0000	0.0000	0.0000
parataxis	0.5000	1.0000	0.6667
obj	0.8182	0.6923	0.7500
root	0.8000	0.8000	0.8000
TOTAL	0.8663	0.8663	0.8663

Sample: svediakorp-sec486-SchwartzMS_BellmansSkor, time period: 1850-1900
Metric	Precision	Recall	F1
compound	0.0000	0.0000	0.0000
expl	0.0000	0.0000	0.0000
fixed	0.0000	0.0000	0.0000
obl	0.6364	0.7000	0.6667
nummod	0.0000	0.0000	0.0000
flat	1.0000	0.5000	0.6667
advcl	0.6667	0.6667	0.6667
cc	1.0000	0.5000	0.6667
goeswith	0.0000	0.0000	0.0000
aux	0.0000	0.0000	0.0000
case	0.9000	0.6923	0.7826
conj	0.6667	0.6667	0.6667
orphan	0.0000	0.0000	0.0000
appos	0.0000	0.0000	0.0000
discourse	0.0000	0.0000	0.0000
acl	0.6000	0.6000	0.6000
csubj	0.0000	0.0000	0.0000
ccomp	0.0000	0.0000	0.0000
det	1.0000	1.0000	1.0000
vocative	0.0000	0.0000	0.0000
advmod	0.6364	0.8750	0.7368
mark	0.7143	1.0000	0.8333
nmod	1.0000	0.8000	0.8889
punct	1.0000	1.0000	1.0000
reparandum	0.0000	0.0000	0.0000
amod	1.0000	1.0000	1.0000
xcomp	1.0000	0.5000	0.6667
cop	1.0000	1.0000	1.0000
nsubj	0.9231	0.9231	0.9231
dep	0.0000	0.0000	0.0000
iobj	0.0000	0.0000	0.0000
clf	0.0000	0.0000	0.0000
dislocated	0.0000	0.0000	0.0000
list	0.0000	0.0000	0.0000
parataxis	0.0000	0.0000	0.0000
obj	0.8000	1.0000	0.8889
root	0.4286	0.6000	0.5000
TOTAL	0.8067	0.8067	0.8067

Sample: svediakorp-sec277-EnbomPU_MedborgeligtSkalde, time period: 1750-1800
Metric	Precision	Recall	F1
compound	0.0000	0.0000	0.0000
expl	1.0000	1.0000	1.0000
fixed	0.0000	0.0000	0.0000
obl	0.7500	0.5625	0.6429
nummod	0.0000	0.0000	0.0000
flat	0.0000	0.0000	0.0000
advcl	0.2500	0.6667	0.3636
cc	0.8889	1.0000	0.9412
goeswith	0.0000	0.0000	0.0000
aux	1.0000	0.6250	0.7692
case	0.8750	1.0000	0.9333
conj	0.4615	0.6000	0.5217
orphan	0.0000	0.0000	0.0000
appos	0.0000	0.0000	0.0000
discourse	0.0000	0.0000	0.0000
acl	0.7500	0.7500	0.7500
csubj	0.0000	0.0000	0.0000
ccomp	1.0000	0.2500	0.4000
det	1.0000	1.0000	1.0000
vocative	0.0000	0.0000	0.0000
advmod	1.0000	0.8462	0.9167
mark	1.0000	0.7692	0.8696
nmod	0.7895	0.9375	0.8571
punct	1.0000	1.0000	1.0000
reparandum	0.0000	0.0000	0.0000
amod	0.7857	0.8462	0.8148
xcomp	1.0000	0.5455	0.7059
cop	1.0000	1.0000	1.0000
nsubj	0.8500	0.8947	0.8718
dep	0.0000	0.0000	0.0000
iobj	0.0000	0.0000	0.0000
clf	0.0000	0.0000	0.0000
dislocated	0.0000	0.0000	0.0000
list	0.0000	0.0000	0.0000
parataxis	0.0000	0.0000	0.0000
obj	0.8235	0.7368	0.7778
root	0.5000	0.6250	0.5556
TOTAL	0.8017	0.8017	0.8017

Sample: svediakorp-sec991-spf148, time period: 1800-1850
Metric	Precision	Recall	F1
compound	1.0000	1.0000	1.0000
expl	0.0000	0.0000	0.0000
fixed	0.0000	0.0000	0.0000
obl	0.9000	0.7826	0.8372
nummod	1.0000	1.0000	1.0000
flat	0.0000	0.0000	0.0000
advcl	0.0000	0.0000	0.0000
cc	0.9333	1.0000	0.9655
goeswith	0.0000	0.0000	0.0000
aux	0.8000	1.0000	0.8889
case	1.0000	1.0000	1.0000
conj	0.7647	0.9286	0.8387
orphan	0.0000	0.0000	0.0000
appos	0.0000	0.0000	0.0000
discourse	0.0000	0.0000	0.0000
acl	1.0000	0.3636	0.5333
csubj	0.0000	0.0000	0.0000
ccomp	0.0000	0.0000	0.0000
det	1.0000	1.0000	1.0000
vocative	0.0000	0.0000	0.0000
advmod	0.8571	1.0000	0.9231
mark	0.6667	0.6667	0.6667
nmod	0.7692	0.9091	0.8333
punct	1.0000	0.9714	0.9855
