Sample: svediakorp-sec452-NyblomH_FantasierFyra, time period: 1850-1900
Metric	Precision	Recall	F1
ADV	0.7500	0.8571	0.8000
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	0.3333	1.0000	0.5000
VERB	0.9583	1.0000	0.9787
NUM	0.0000	0.0000	0.0000
ADP	1.0000	1.0000	1.0000
AUX	0.0000	0.0000	0.0000
CCONJ	1.0000	1.0000	1.0000
NOUN	0.9697	1.0000	0.9846
SYM	0.0000	0.0000	0.0000
ADJ	1.0000	0.8125	0.8966
PRON	1.0000	0.9286	0.9630
DET	0.9167	1.0000	0.9565
PUNCT	1.0000	1.0000	1.0000
PROPN	1.0000	1.0000	1.0000
PART	1.0000	1.0000	1.0000
TOTAL	0.9626	0.9626	0.9626
Sample: svediakorp-sec486-SchwartzMS_BellmansSkor, time period: 1850-1900
Metric	Precision	Recall	F1
ADV	0.9167	1.0000	0.9565
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	1.0000	1.0000	1.0000
VERB	0.9091	1.0000	0.9524
NUM	1.0000	1.0000	1.0000
ADP	1.0000	0.9167	0.9565
AUX	1.0000	0.8571	0.9231
CCONJ	1.0000	1.0000	1.0000
NOUN	1.0000	1.0000	1.0000
SYM	0.0000	0.0000	0.0000
ADJ	1.0000	1.0000	1.0000
PRON	1.0000	1.0000	1.0000
DET	1.0000	1.0000	1.0000
PUNCT	1.0000	1.0000	1.0000
PROPN	1.0000	1.0000	1.0000
PART	1.0000	1.0000	1.0000
TOTAL	0.9832	0.9832	0.9832
Sample: svediakorp-sec277-EnbomPU_MedborgeligtSkalde, time period: 1750-1800
Metric	Precision	Recall	F1
ADV	1.0000	0.9091	0.9524
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	1.0000	0.6667	0.8000
VERB	0.8438	0.9000	0.8710
NUM	0.0000	0.0000	0.0000
ADP	0.9565	1.0000	0.9778
AUX	1.0000	0.6667	0.8000
CCONJ	0.8889	1.0000	0.9412
NOUN	0.8780	0.8571	0.8675
SYM	0.0000	0.0000	0.0000
ADJ	0.8889	0.8000	0.8421
PRON	0.9677	0.9375	0.9524
DET	1.0000	1.0000	1.0000
PUNCT	0.9688	1.0000	0.9841
PROPN	0.5833	1.0000	0.7368
PART	1.0000	0.8889	0.9412
TOTAL	0.9072	0.9072	0.9072
Sample: svediakorp-sec991-spf148, time period: 1800-1850
Metric	Precision	Recall	F1
ADV	0.8462	1.0000	0.9167
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	0.0000	0.0000	0.0000
VERB	0.8636	0.8636	0.8636
NUM	1.0000	1.0000	1.0000
ADP	1.0000	1.0000	1.0000
AUX	0.8000	0.6667	0.7273
CCONJ	0.9333	1.0000	0.9655
NOUN	0.8889	0.9825	0.9333
SYM	0.0000	0.0000	0.0000
ADJ	1.0000	0.8286	0.9062
PRON	1.0000	0.8333	0.9091
DET	1.0000	1.0000	1.0000
PUNCT	1.0000	1.0000	1.0000
PROPN	0.6667	1.0000	0.8000
PART	1.0000	1.0000	1.0000
TOTAL	0.9368	0.9368	0.9368
Sample: svediakorp-sec631-HasselskogN_HallaHallaGronkoping, time period: 1900-1950
Metric	Precision	Recall	F1
ADV	0.8519	0.9200	0.8846
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	0.6667	1.0000	0.8000
VERB	0.9375	1.0000	0.9677
NUM	0.0000	0.0000	0.0000
ADP	1.0000	0.9231	0.9600
AUX	1.0000	0.7000	0.8235
CCONJ	1.0000	0.8824	0.9375
NOUN	0.9620	0.9870	0.9744
SYM	0.0000	0.0000	0.0000
ADJ	0.9231	0.9730	0.9474
PRON	0.9697	0.9412	0.9552
DET	0.9444	1.0000	0.9714
PUNCT	1.0000	1.0000	1.0000
PROPN	1.0000	1.0000	1.0000
PART	1.0000	1.0000	1.0000
TOTAL	0.9565	0.9565	0.9565
Sample: svediakorp-sec252-BremerF_Teckningar1, time period: 1800-1850
Metric	Precision	Recall	F1
ADV	1.0000	1.0000	1.0000
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	1.0000	1.0000	1.0000
VERB	1.0000	1.0000	1.0000
NUM	0.0000	0.0000	0.0000
ADP	1.0000	1.0000	1.0000
AUX	1.0000	1.0000	1.0000
CCONJ	0.0000	0.0000	0.0000
NOUN	1.0000	1.0000	1.0000
SYM	0.0000	0.0000	0.0000
ADJ	1.0000	1.0000	1.0000
PRON	1.0000	1.0000	1.0000
DET	1.0000	1.0000	1.0000
PUNCT	1.0000	1.0000	1.0000
PROPN	1.0000	1.0000	1.0000
PART	1.0000	1.0000	1.0000
TOTAL	1.0000	1.0000	1.0000
Sample: svediakorp-sec1102-spf259, time period: 1850-1900
Metric	Precision	Recall	F1
ADV	0.8947	0.9444	0.9189
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	0.8571	0.8571	0.8571
VERB	0.9412	0.8421	0.8889
NUM	0.0000	0.0000	0.0000
ADP	1.0000	1.0000	1.0000
AUX	1.0000	0.7500	0.8571
CCONJ	1.0000	1.0000	1.0000
NOUN	0.9143	0.9697	0.9412
SYM	0.0000	0.0000	0.0000
ADJ	1.0000	1.0000	1.0000
PRON	0.9231	1.0000	0.9600
DET	1.0000	1.0000	1.0000
PUNCT	1.0000	1.0000	1.0000
PROPN	1.0000	1.0000	1.0000
PART	1.0000	1.0000	1.0000
TOTAL	0.9574	0.9574	0.9574
Sample: svediakorp-letter141673-Stalhammar, time period: 1700-1750
Metric	Precision	Recall	F1
ADV	0.3000	0.1875	0.2308
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	1.0000	0.6000	0.7500
VERB	0.6923	0.6923	0.6923
NUM	0.8333	0.8333	0.8333
ADP	0.9231	0.6316	0.7500
AUX	1.0000	0.1429	0.2500
CCONJ	0.9000	0.8182	0.8571
NOUN	0.4118	0.7568	0.5333
SYM	0.0000	0.0000	0.0000
ADJ	1.0000	0.4167	0.5882
PRON	1.0000	0.3000	0.4615
DET	1.0000	0.2500	0.4000
PUNCT	0.9000	1.0000	0.9474
PROPN	0.2857	0.8571	0.4286
PART	0.0000	0.0000	0.0000
TOTAL	0.5922	0.5955	0.5938
Sample: svediakorp-sec208-Anonym_DetGrasligaMordet, time period: 1850-1900
Metric	Precision	Recall	F1
ADV	1.0000	1.0000	1.0000
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	1.0000	1.0000	1.0000
VERB	1.0000	0.9000	0.9474
NUM	1.0000	1.0000	1.0000
ADP	1.0000	1.0000	1.0000
AUX	0.7500	0.7500	0.7500
CCONJ	1.0000	1.0000	1.0000
NOUN	0.9565	1.0000	0.9778
SYM	0.0000	0.0000	0.0000
ADJ	1.0000	1.0000	1.0000
PRON	1.0000	1.0000	1.0000
DET	1.0000	1.0000	1.0000
PUNCT	1.0000	1.0000	1.0000
PROPN	1.0000	1.0000	1.0000
PART	1.0000	1.0000	1.0000
TOTAL	0.9792	0.9792	0.9792
Sample: svediakorp-sec613-EngstromA_StrindbergOchJag, time period: 1900-1950
Metric	Precision	Recall	F1
ADV	1.0000	1.0000	1.0000
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	1.0000	1.0000	1.0000
VERB	1.0000	1.0000	1.0000
NUM	1.0000	1.0000	1.0000
ADP	1.0000	1.0000	1.0000
AUX	1.0000	1.0000	1.0000
CCONJ	1.0000	1.0000	1.0000
NOUN	1.0000	1.0000	1.0000
SYM	0.0000	0.0000	0.0000
ADJ	1.0000	1.0000	1.0000
PRON	0.9167	1.0000	0.9565
DET	1.0000	0.8750	0.9333
PUNCT	1.0000	1.0000	1.0000
PROPN	1.0000	1.0000	1.0000
PART	1.0000	1.0000	1.0000
TOTAL	0.9927	0.9927	0.9927
Sample: svediakorp-sec324-GranbergPA_Enslighetsalskaren, time period: 1800-1850
Metric	Precision	Recall	F1
ADV	0.9091	0.7692	0.8333
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	0.7143	1.0000	0.8333
VERB	0.8500	0.9444	0.8947
NUM	0.0000	0.0000	0.0000
ADP	0.9000	1.0000	0.9474
AUX	1.0000	1.0000	1.0000
CCONJ	1.0000	1.0000	1.0000
NOUN	0.9583	0.9200	0.9388
SYM	0.0000	0.0000	0.0000
ADJ	0.6000	1.0000	0.7500
PRON	0.9545	0.8750	0.9130
DET	1.0000	0.8333	0.9091
PUNCT	1.0000	1.0000	1.0000
PROPN	0.0000	0.0000	0.0000
PART	1.0000	0.8889	0.9412
TOTAL	0.9203	0.9137	0.9170
Sample: svediakorp-sec1033-spf190, time period: 1900-1950
Metric	Precision	Recall	F1
ADV	0.9286	0.9286	0.9286
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	1.0000	0.7500	0.8571
VERB	1.0000	0.9167	0.9565
NUM	0.0000	0.0000	0.0000
ADP	0.9167	0.9167	0.9167
AUX	1.0000	1.0000	1.0000
CCONJ	1.0000	1.0000	1.0000
NOUN	0.9630	1.0000	0.9811
SYM	0.0000	0.0000	0.0000
ADJ	0.8182	0.9000	0.8571
PRON	1.0000	0.9231	0.9600
DET	1.0000	1.0000	1.0000
PUNCT	1.0000	1.0000	1.0000
PROPN	1.0000	1.0000	1.0000
PART	0.5000	1.0000	0.6667
TOTAL	0.9528	0.9528	0.9528
Sample: svediakorp-sec25-Runius, time period: 1700-1750
Metric	Precision	Recall	F1
ADV	0.8333	0.8333	0.8333
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	0.0000	0.0000	0.0000
VERB	0.8182	0.9000	0.8571
NUM	0.0000	0.0000	0.0000
ADP	1.0000	1.0000	1.0000
AUX	0.0000	0.0000	0.0000
CCONJ	1.0000	1.0000	1.0000
NOUN	0.8182	0.9000	0.8571
SYM	0.0000	0.0000	0.0000
ADJ	1.0000	0.6667	0.8000
PRON	1.0000	0.8889	0.9412
DET	1.0000	1.0000	1.0000
PUNCT	1.0000	1.0000	1.0000
PROPN	0.0000	0.0000	0.0000
PART	0.0000	0.0000	0.0000
TOTAL	0.8600	0.8776	0.8687
Sample: svediakorp-sec254-CederborghF_BerattelseOmJohnHall, time period: 1800-1850
Metric	Precision	Recall	F1
ADV	1.0000	1.0000	1.0000
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	1.0000	1.0000	1.0000
VERB	0.9048	0.9500	0.9268
NUM	0.0000	0.0000	0.0000
ADP	1.0000	1.0000	1.0000
AUX	0.9000	0.8182	0.8571
CCONJ	1.0000	1.0000	1.0000
NOUN	1.0000	0.9762	0.9880
SYM	0.0000	0.0000	0.0000
ADJ	1.0000	1.0000	1.0000
PRON	1.0000	1.0000	1.0000
DET	1.0000	1.0000	1.0000
PUNCT	1.0000	1.0000	1.0000
PROPN	0.9167	1.0000	0.9565
PART	1.0000	1.0000	1.0000
TOTAL	0.9834	0.9834	0.9834
Sample: svediakorp-sec397-AngeredStrandbergH_UnderSodernsSol, time period: 1900-1950
Metric	Precision	Recall	F1
ADV	1.0000	0.9474	0.9730
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	1.0000	1.0000	1.0000
VERB	0.9091	0.9524	0.9302
NUM	0.0000	0.0000	0.0000
ADP	1.0000	1.0000	1.0000
AUX	0.6667	0.5000	0.5714
CCONJ	1.0000	1.0000	1.0000
NOUN	0.9545	1.0000	0.9767
SYM	0.0000	0.0000	0.0000
ADJ	1.0000	0.9524	0.9756
PRON	1.0000	1.0000	1.0000
DET	1.0000	1.0000	1.0000
PUNCT	1.0000	1.0000	1.0000
PROPN	1.0000	1.0000	1.0000
PART	1.0000	1.0000	1.0000
TOTAL	0.9731	0.9731	0.9731
Sample: svediakorp-sec330-GyllenborgC_SwenskaSpratthoken, time period: 1700-1750
Metric	Precision	Recall	F1
ADV	0.9286	0.8125	0.8667
INTJ	0.5000	1.0000	0.6667
X	0.0000	0.0000	0.0000
SCONJ	0.7143	0.7692	0.7407
VERB	0.9000	0.8780	0.8889
NUM	0.0000	0.0000	0.0000
ADP	0.8824	0.6250	0.7317
AUX	0.9286	0.7647	0.8387
CCONJ	0.9048	0.9048	0.9048
NOUN	0.7391	0.9444	0.8293
SYM	0.0000	0.0000	0.0000
ADJ	1.0000	0.8696	0.9302
PRON	0.9245	0.8448	0.8829
DET	1.0000	0.8125	0.8966
PUNCT	0.9767	1.0000	0.9882
PROPN	0.6250	1.0000	0.7692
PART	0.8000	0.5714	0.6667
TOTAL	0.8616	0.8616	0.8616
Sample: svediakorp-sec639-HeidenstamV_Proletarfilosofiens, time period: 1900-1950
Metric	Precision	Recall	F1
ADV	1.0000	1.0000	1.0000
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	1.0000	0.7500	0.8571
VERB	1.0000	1.0000	1.0000
NUM	0.0000	0.0000	0.0000
ADP	0.9474	1.0000	0.9730
AUX	1.0000	1.0000	1.0000
CCONJ	1.0000	1.0000	1.0000
NOUN	1.0000	1.0000	1.0000
SYM	0.0000	0.0000	0.0000
ADJ	1.0000	1.0000	1.0000
PRON	1.0000	1.0000	1.0000
DET	1.0000	1.0000	1.0000
PUNCT	1.0000	1.0000	1.0000
PROPN	0.0000	0.0000	0.0000
PART	1.0000	1.0000	1.0000
TOTAL	0.9930	0.9930	0.9930
Sample: svediakorp-sec268-DulciU_VitterhetsNojen3, time period: 1750-1800
Metric	Precision	Recall	F1
ADV	0.3208	0.3864	0.3505
INTJ	1.0000	1.0000	1.0000
X	0.0000	0.0000	0.0000
SCONJ	0.4286	0.4615	0.4444
VERB	0.4500	0.4737	0.4615
NUM	0.0000	0.0000	0.0000
ADP	0.4400	0.4459	0.4430
AUX	0.3611	0.3714	0.3662
CCONJ	0.3103	0.3103	0.3103
NOUN	0.4786	0.4746	0.4766
SYM	0.0000	0.0000	0.0000
ADJ	0.4310	0.3906	0.4098
PRON	0.4314	0.3860	0.4074
DET	0.5532	0.5417	0.5474
PUNCT	0.4000	0.4000	0.4000
PROPN	0.4000	0.5714	0.4706
PART	0.6000	0.4737	0.5294
TOTAL	0.4342	0.4342	0.4342
Sample: svediakorp-sec987-spf144, time period: 1800-1850
Metric	Precision	Recall	F1
ADV	1.0000	1.0000	1.0000
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	0.0000	0.0000	0.0000
VERB	0.8333	0.7143	0.7692
NUM	1.0000	1.0000	1.0000
ADP	0.9000	0.9000	0.9000
AUX	0.6667	1.0000	0.8000
CCONJ	0.7500	0.7500	0.7500
NOUN	0.7857	0.7857	0.7857
SYM	0.0000	0.0000	0.0000
ADJ	0.7778	0.7778	0.7778
PRON	0.7778	0.7778	0.7778
DET	1.0000	1.0000	1.0000
PUNCT	0.8750	0.8750	0.8750
PROPN	1.0000	1.0000	1.0000
PART	1.0000	1.0000	1.0000
TOTAL	0.8519	0.8519	0.8519
Sample: svediakorp-sec988-spf145, time period: 1800-1850
Metric	Precision	Recall	F1
ADV	0.8182	0.9000	0.8571
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	0.7500	1.0000	0.8571
VERB	0.9130	1.0000	0.9545
NUM	0.0000	0.0000	0.0000
ADP	1.0000	0.8333	0.9091
AUX	1.0000	0.8889	0.9412
CCONJ	1.0000	1.0000	1.0000
NOUN	0.9259	0.8929	0.9091
SYM	0.0000	0.0000	0.0000
ADJ	0.9286	0.9286	0.9286
PRON	1.0000	0.8947	0.9444
DET	1.0000	1.0000	1.0000
PUNCT	1.0000	1.0000	1.0000
PROPN	0.6364	1.0000	0.7778
PART	1.0000	0.8571	0.9231
TOTAL	0.9277	0.9277	0.9277
Sample: svediakorp-sec1063-spf220, time period: 1850-1900
Metric	Precision	Recall	F1
ADV	0.8750	0.7778	0.8235
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	1.0000	0.8333	0.9091
VERB	1.0000	1.0000	1.0000
